entity_name,type,count
®]ªZ,PERSON,27
¥Ð§Ò,PERSON,20
ÃQ,PERSON,10
®]ÂÁ,PERSON,9
§d°_,PERSON,9
§d¤ý,PERSON,8
±ä¾Þ,PERSON,8
¥q°¨¾E,PERSON,6
§d¤ýÂó¾[,PERSON,5
§d®]¤l,PERSON,5
»ô°ê,GPE,5
®]Ãe®þ,PERSON,5
»ô«Â¤ý,PERSON,5
Ãe®þ,PERSON,4
§d,PERSON,4
§d¶V,PERSON,4
»ô®]¤l,PERSON,3
¤sªF¬Ù,GPE,3
Âó¾[,PERSON,3
¥î¤l­E,PERSON,3
·¡°ê,GPE,3
ÃQªZ«Ò,PERSON,3
Ãe®þ®þ,PERSON,3
°¨³®,LOC,3
Áú°ê,GPE,3
Áú«D¤l,PERSON,2
®]ªZ§L,PERSON,2
®]¤lªZ,PERSON,2
§d°ê,GPE,2
§d¤H,NORP,2
»ô®]ªZ,PERSON,2
º~®ÑÃÀ¤å§Ó,PERSON,2
Åt,PERSON,2
¨·ÆN,PERSON,2
àÚ,PERSON,2
´f¤ý,PERSON,2
®]§Lªk,PERSON,2
¤¯¿ª,PERSON,2
°ÄÃQ,PERSON,2
»¯,PERSON,2
±ç,PERSON,2
Áú,GPE,2
¦¿«n,LOC,2
¤½®]Às,PERSON,2
¥Õ°¨,PERSON,2
¶À°¨,PERSON,2
»¯¾ç,PERSON,1
°K±d,PERSON,1
»È³¶¤s,FAC,1
»ô®]ÂÁ,PERSON,1
º~ªZ«Ò,PERSON,1
®],PERSON,1
ªZ,PERSON,1
¥v°O,PERSON,1
§d¤ýÂó,PERSON,1
»ô°ê,PERSON,1
¦¿Ä¬¬Ù,GPE,1
§d°ê¨D,PERSON,1
¶Àªe,LOC,1
»ô®Ù¤½,PERSON,1
®]ªZ¥K§d,PERSON,1
¥ï·¡,PERSON,1
§d¤ýÂó¿c,PERSON,1
Âó¿c¤é,PERSON,1
§d°_¦C,PERSON,1
º~®Ñ,PERSON,1
º~®ÑÃÀ,PERSON,1
¶¦®Ñ¸gÄy§Ó,PERSON,1
¤ýÕæ,PERSON,1
¶r®]¤l,PERSON,1
ÃQ¤Ó±L,PERSON,1
º~®Ñ,WORK_OF_ART,1
¶¦®Ñ,PERSON,1
ÃQªZª`,PERSON,1
®]ªZ²¤,PERSON,1
®Ê°ê,GPE,1
³¹©ú¿ª,PERSON,1
¨·,PERSON,1
±i¤},PERSON,1
¤¤°ê,GPE,1
¦m¦a,PERSON,1
¯ó­ZªL,PERSON,1
®J¸s,PERSON,1
ÄR©ó,PERSON,1
³s­x,ORG,1
Â£¸â,PERSON,1
¶V¤H,NORP,1
µ`¤l,PERSON,1
®]ÂÃ,PERSON,1
¤Q¤T,PERSON,1
§d¤ýÃý,PERSON,1
¹ß¤H,PERSON,1
àÚ·R®V,PERSON,1
ÄÞ¾¥,PERSON,1
®]¤l¬£,PERSON,1
§d¤ýÁÔ,PERSON,1
ÄR¤j¤ý,PERSON,1
¥_¼@«ÂÀa,GPE,1
¤­¾Ô,EVENT,1
·¡³£°r«°,LOC,1
§d¤ý»Õ,PERSON,1
¥yÄf¾Ô,PERSON,1
¥ß¤Ò,PERSON,1
¤Ò®t,PERSON,1
¦ã³®,PERSON,1
´¿©w¤½,PERSON,1
§d°ê,PERSON,1
¥_«Â»ô,PERSON,1
½ê«J,PERSON,1
§d§d°ê,PERSON,1
ÄRÁ¨,PERSON,1
®]¿à·í,PERSON,1
»ô°ê¤H,NORP,1
®]ÁtÀç,PERSON,1
¥q°¨,PERSON,1
¤å¤ý,PERSON,1
©P©ö,PERSON,1
¤Õ¤l,PERSON,1
©}­ì,PERSON,1
¥ª¥C,PERSON,1
°ê»y,LANGUAGE,1
®]¤l¸},PERSON,1
Áú,PERSON,1
½å¸t,PERSON,1
®]Át,PERSON,1
ÁÖ¤ý,PERSON,1
Ãü¤½¤l,PERSON,1
«Â¤ý,PERSON,1
»ô®]¤l§Lªk,PERSON,1
©úÄQ,PERSON,1
®]¤l¤é,PERSON,1
®]ªì,PERSON,1
±]ÓJ¥@,PERSON,1
µ\µÏ,PERSON,1
µÏ,PERSON,1
§LÄÞ¤§,PERSON,1
¥²Âí,GPE,1
»ô«Â,PERSON,1
ÃQ¥ï»¯,PERSON,1
»¯­x,PERSON,1
®]¶¦,PERSON,1
®]Æp,PERSON,1
®]Æp¼@,PERSON,1
±ç­x,PERSON,1
±ç°ê,PERSON,1
®Û³®,LOC,1
»ô¬£¥Ð§Ò§L,PERSON,1
ÃQ³£¤j¼Ù,PERSON,1
Åè®þ,PERSON,1
»ô­x,ORG,1
ÃQ¦a,LOC,1
»ô§L¾§,PERSON,1
ÃQ¦a,PERSON,1
°¨Õæ,PERSON,1
ÃQ­x,PERSON,1
®þ,PERSON,1
ÃQ­x,ORG,1
°¨³®¤§§Ð,EVENT,1
ÃQ¤å«J,PERSON,1
¨·ÆN°¨³®,PERSON,1
¤°ÆN,PERSON,1
»ôµ¦,PERSON,1
®]«Ø,PERSON,1
À³Á¨,PERSON,1
¶m§Ò»ô,PERSON,1
¥Ð§Ò¶û,PERSON,1
·¡¤ý,PERSON,1
¥Ð·q¥ò,PERSON,1
§f,PERSON,1
¥Õ,PERSON,1
¥Õ°¨«D°¨,PERSON,1
