head,relation,tail
孫武,是,孫子
孫臏,是,孫子
吳王闔閭,是,孫子
戰國時代齊國,是,孫臏
孫臏,是,齊國軍師
孫臏,輔佐,田忌
孫臏,大破,龐涓
龐涓,被,孫臏大破
吳起,列傳,孫子
孫武,事蹟,吳越春秋
孫武,事蹟,越絕書
趙曄,著,吳越春秋
袁康,著,越絕書
孫子,臏腳,魏
孫武兵,記,吳孫子兵法八十二為
孫臏,記,齊孫子八十九為
西元九七二年,出土了,許多竹簡
銀雀山,出土了,許多竹簡
吳孫子,包括,竹簡
齊孫臏,包括,竹簡
墓主,葬于,西元前八年以前
兩,竹簡,孫子
兩,竹簡,史記
竹簡,編輯,孫武
竹簡,編輯,孫臏
孫武,遺著,竹簡
孫臏,遺著,竹簡
孫子武,是,齊人
吳起,是,孫子武
武,是,孫子之名
龐涓,以法刑斷,兩足
龐涓,以號行,名
孫起,是,孫武
孫起,是,孫臏
孫子武,是,齊人
吳王闔,接著,孫子武
孫子武,見,兵法
兵法,見於,吳王闔
齊國,在,山東省
江蘇省,求職,吳國
吳國,是,境的小
齊國,是,強
黃河,流域,褚侯爭霸中原
孫武,離開,齊國
孫武,遠去,吳國
後漢時代,成書,吳越春秋
吳越春秋,屬於,後漢時代
吳越春秋,來自,吳人
孫武,是,吳人
吳越,成書,春秋
吳,有,藏孫之書
孫子,流行,戰國時代
春秋時代,有,孫武
春秋左氏傳,對,孫武
